Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
96,Bharati Vidyapeeth Deemed University College of Engineering,2021,12.11,28.78,12.5,6.95,0.79,1.07,1,0.16,35.61,15,9.8,2.32,21.77,25.45,4.36,20,6.83
,,,,,,,,,,,,,,,,,,,
97,The Northcap University,2021,7.28,26.63,15.08,11.37,5.4,7.24,0,0.08,30.84,15,10.75,0.24,9.25,20.89,1.18,20,8.07
,,,,,,,,,,,,,,,,,,,
98,B. M. S. College of Engineering,2021,13.7,23.1,12.48,10.34,4.67,5.02,2,0.64,23.18,14.71,15.22,0.99,6.72,23.57,1.65,20,15.35
,,,,,,,,,,,,,,,,,,,
99,National Institute of Technology Hamirpur,2021,11.59,17.28,11.44,9.88,9.29,11.97,0,0.66,25.93,15,14.13,3.14,12.82,10.7,3.02,20,11.59
,,,,,,,,,,,,,,,,,,,
100,C.V. Raman Global University Odisha,2021,10.2,30,12.05,9.85,1.56,2.94,1,0.08,32.85,15,11.04,0,12.62,21.92,3.01,20,11.02
,,,,,,,,,,,,,,,,,,,
Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2020,18.5,30,18.1,28.82,33.2,36.44,15,10,30.68,15,20.8,17.41,19.56,13.53,8.22,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2020,18.24,28.41,18.57,25.56,35,39.31,13,8.84,27.82,13.09,21.49,17.97,23.94,17,3.87,20,94.46
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2020,18.5,30,19.21,23.3,33.51,36.17,15,8.7,26.82,13.66,19.39,17.72,18.94,12.68,4.37,14,92.51
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2020,18.5,25.13,16.5,26.09,29.41,31.96,13,7.71,35.08,15,21.99,16.37,18.55,7.75,7.92,20,85.78
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kharagpur,2020,17.99,24.75,16.14,18.44,32.46,39.12,10,5.53,27.7,14.2,21.3,20,20.93,10.31,5.38,20,89.31
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2020,18.5,23.89,15.57,19.25,31.71,35.96,4,4.91,35.63,15,20.96,18.07,24.92,11.74,5.04,20,60.55
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2020,16.61,29.16,17.48,19.79,28.8,31.04,6,4.88,30.12,15,21.78,16.12,23.12,10.86,5.15,20,62.45
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2020,11.5,30,16.26,24.75,20.87,20.87,5,5.73,31.45,15,19.38,5.72,16.59,13.66,5.72,20,60.42
,,,,,,,,,,,,,,,,,,,
9,National Institute of Technology Tiruchirappalli,2020,15.18,24.24,15.06,17.63,20.96,22.37,3,3.72,33.01,15,16.72,9.98,15.74,20.29,5.46,20,63.68
,,,,,,,,,,,,,,,,,,,
10,Indian Institute of Technology Indore,2020,9.83,29.5,17.09,23.47,23.25,24.44,2,3.62,28.56,15,19.82,8.72,19.42,12.09,6.25,20,27.15
,,,,,,,,,,,,,,,,,,,
11,Indian Institute of Technology (Banaras Hindu University) Varanasi,2020,16.25,23.4,14.89,17.8,20.03,23.54,2,2.19,33.8,14.22,20.24,9.51,17.05,9.99,9.03,20,53.49
,,,,,,,,,,,,,,,,,,,
12,Indian Institute of Technology (Indian School of Mines) Dhanbad,2020,15.89,19.06,12.97,16.11,27.19,30.54,2,3.39,31.15,15,16.91,9.05,20.31,6.17,8.58,20,39.78
,,,,,,,,,,,,,,,,,,,
13,National Institute of Technology Karnataka  Surathkal,2020,14.71,22.59,14.38,17.26,20.96,20.67,2,2.4,36.17,15,16.49,11,14.73,14.4,6.11,20,55.59
,,,,,,,,,,,,,,,,,,,
14,Anna University,2020,18.6,22.63,12.92,10.47,20.04,27.27,4,2.76,20,15,13.06,13.44,1.35,26.61,3.67,20,68.24
,,,,,,,,,,,,,,,,,,,
15,Vellore Institute of Technology,2020,17.54,17.83,11.25,10.17,25.66,33.13,5,0.27,23.47,11.96,13.16,14.48,17.9,20.18,0.13,20,46.29
,,,,,,,,,,,,,,,,,,,
16,National Institute of Technology Rourkela,2020,15.26,21.15,14.38,13.59,25.43,28.22,2,2.17,33.7,12.74,14.71,13.15,12.99,12.37,1.87,20,30.48
,,,,,,,,,,,,,,,,,,,
17,Jadavpur University,2020,17.07,16.83,10.03,9.8,28.1,29.58,1,3.36,31.59,14.36,15.27,15.23,4.53,12.52,5.4,18,51.61
,,,,,,,,,,,,,,,,,,,
18,Institute of Chemical Technology,2020,9.77,21.28,14.12,22.96,18.88,21.62,7,6.53,34.88,14.71,13.91,11.15,4.68,23.81,2.68,14,25.98
,,,,,,,,,,,,,,,,,,,
19,National Institute of Technology Warangal,2020,16,25.47,16.78,15.13,16.61,17.01,2,2.5,33.88,15,17.23,8.1,17.8,16.74,3.27,20,36.91
,,,,,,,,,,,,,,,,,,,
20,Amrita Vishwa Vidyapeetham,2020,16.75,24.96,13.41,10.65,25.25,21,9,1.5,30.25,15,10.9,2.85,15.84,22.66,1.57,20,28.01
,,,,,,,,,,,,,,,,,,,
21,Indian Institute of Engineering Science and Technology Shibpur,2020,13.45,25.98,15.19,14.95,22.93,21.02,1,2.67,23.86,12.92,15.02,11.37,11.56,13.8,2.56,20,45.56
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Bhubaneswar,2020,9.97,29.01,17.15,20.93,15.82,16.42,1,3.93,31.15,14.03,17.51,2.08,21.36,11.34,3.57,20,39.56
,,,,,,,,,,,,,,,,,,,
23,National Institute of Technology Calicut,2020,15,26.08,16.51,13.46,14.31,13.02,3,0.97,36.67,15,16.05,10.56,14.32,22.05,7.5,20,38.04
,,,,,,,,,,,,,,,,,,,
24,Indian Institute of Technology Gandhinagar,2020,8.64,30,18.62,26.5,14.15,12.54,1,6.87,24,12.32,16.11,2.72,19.24,15.11,3.56,20,38.26
,,,,,,,,,,,,,,,,,,,
25,Indian Institute of Technology Ropar,2020,9.41,30,17.16,22.54,11.81,14.49,1.5,2.74,32.22,14.6,18.62,4.87,20.15,12.79,6.3,20,30.75
,,,,,,,,,,,,,,,,,,,
26,Indian Institute of Technology Patna,2020,9.17,30,17.02,22,18.21,16.73,1,3.3,26,12.51,18.64,5.13,16.43,8.87,6.56,20,28.57
,,,,,,,,,,,,,,,,,,,
27,Visvesvaraya National Institute of Technology Nagpur,2020,14.34,22.84,15.16,15.36,17.72,18.54,4,4.93,31.7,15,14.37,8.66,13.49,18.33,1.95,20,15.56
,,,,,,,,,,,,,,,,,,,
28,Jamia Millia Islamia,2020,9.5,27.79,15.37,10.5,21.49,21.25,3,2.37,33.7,15,15.74,7,22.4,9.8,5.8,20,11.13
,,,,,,,,,,,,,,,,,,,
29,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2020,15.65,22.74,14.27,13.29,20.3,25.67,0.5,1.18,29.34,15,14.94,6.4,13.24,20.72,0.86,20,17.42
,,,,,,,,,,,,,,,,,,,
30,Birla Institute of Technology and Science Pilani,2020,17.91,17.97,11.89,14.18,15.8,17.62,1,0.44,37.97,15,19.68,4.71,22.58,13.65,0.03,20,42.47
,,,,,,,,,,,,,,,,,,,
31,Indian Institute of Technology Mandi,2020,9.7,23.51,15.73,21.44,16.49,16.13,1,3.18,28.36,15,18.83,4.92,20.84,16.78,7.08,20,21.26
,,,,,,,,,,,,,,,,,,,
32,Amity University,2020,14.7,30,15.81,10.72,22.04,18.58,9,0.5,21.54,15,10.38,4.1,14.3,22.26,0.37,20,8.05
,,,,,,,,,,,,,,,,,,,
33,Indian Institute of Space Science and Technology,2020,6.77,30,17.84,24.04,11.22,10.49,1,1.31,28.79,13.27,17.91,2.92,16.72,20.02,6.23,20,33.32
,,,,,,,,,,,,,,,,,,,
34,Siksha `O` Anusandhan,2020,16.49,30,14.24,14,11.05,14.56,3,0.79,34.12,15,10.61,8.45,13.42,30,0.83,20,10.7
,,,,,,,,,,,,,,,,,,,
35,Malaviya National Institute of Technology,2020,12.69,30,12.96,15.75,18.43,19.55,2,1.72,24.84,11.99,15.06,6,10.5,19.98,3.92,20,8.95
,,,,,,,,,,,,,,,,,,,
36,Delhi Technological University,2020,15.58,26.23,11.13,10.42,13.07,14.85,2,1.2,35.39,15,16.41,6.4,12.41,19.08,1.58,20,36.91
,,,,,,,,,,,,,,,,,,,
37,Shanmugha Arts Science Technology and Research Academy,2020,16.21,30,16.21,10.72,14.02,16.61,1,2.18,32.92,15,11.69,5.28,9.43,26.06,1.11,20,10.7
,,,,,,,,,,,,,,,,,,,
38,Birla Institute of Technology,2020,10.4,28.53,17.6,13.54,17.73,13.72,2,1.36,23.59,13.46,15.8,5.91,10.93,19.57,1.06,20,30.48
,,,,,,,,,,,,,,,,,,,
39,Aligarh Muslim University,2020,11,30,16.38,13.2,20.08,21.85,3,0.9,25.23,14.14,12.76,4.44,7,10.11,3.79,20,10.7
,,,,,,,,,,,,,,,,,,,
40,National Institute of Technology Kurukshetra,2020,13.16,22.51,12.66,15.53,19.53,18.69,2,1.42,29.76,13.56,15.15,3.18,15.26,16.51,2.98,20,17.42
,,,,,,,,,,,,,,,,,,,
41,S.R.M. Institute of Science and Technology,2020,18,21.92,11.29,10.05,15.64,19.89,6,0.43,31.99,15,11.15,5.43,19.55,20.76,0.75,20,11.55
,,,,,,,,,,,,,,,,,,,
42,Kalinga Institute of Industrial Technology,2020,19,21.98,13.63,11.47,9.54,12.58,2.5,1.17,30.47,15,11.21,9.11,25.76,29.66,0.29,20,17.79
,,,,,,,,,,,,,,,,,,,
43,International Institute of Information Technology Hyderabad,2020,8.71,17.46,12.1,14.74,17.01,14.49,2,3.15,33.62,12.39,25,2.92,20.05,12.64,0.23,20,24.77
,,,,,,,,,,,,,,,,,,,
44,Sri Sivasubramaniya Nadar College of Engineering,2020,14,25.57,14.51,11.94,15.24,14.07,1,0.79,33.22,14.75,11.63,4.21,3.54,26.62,3.31,20,20.25
,,,,,,,,,,,,,,,,,,,
45,Manipal Institute of Technology,2020,15.5,28.81,14.26,11.75,11.14,11.54,2,0.18,23.03,15,14.27,2.3,19.4,21.08,1.74,20,33.57
,,,,,,,,,,,,,,,,,,,
46,National Institute of Technology Silchar,2020,12.77,22.16,14.65,12.04,16.19,17.69,1,0.52,27.17,14.71,13.79,6.62,12.85,12.14,6.7,20,19.21
,,,,,,,,,,,,,,,,,,,
47,National Institute of Technology Durgapur,2020,12.27,18.67,11.36,12.47,18.5,17.79,0.5,0.2,29.66,14.52,14.72,5.53,12.66,11.13,6.43,20,29.68
,,,,,,,,,,,,,,,,,,,
48,Motilal Nehru National Institute of Technology,2020,15.33,19.53,12.37,12.48,13.58,14.71,1,1.27,30.48,14.67,16.69,7.16,12.92,13.53,4.27,20,22.89
,,,,,,,,,,,,,,,,,,,
49,PSG College of Technology,2020,15.5,29.08,14.07,10.7,6.9,8.57,3,1.25,23.89,14.52,11.15,2.58,1.19,25.16,2.35,20,51.77
,,,,,,,,,,,,,,,,,,,
50,College of Engineering Pune,2020,11,24.48,12.4,14.05,10.44,7.49,2,1.95,35.33,15,15.76,1.47,3.15,24.12,4.58,20,29.4
,,,,,,,,,,,,,,,,,,,
51,Sathyabama Institute of Science and Technology,2020,14.34,23.36,12.43,8.93,13.57,11.96,6,0.24,33.82,15,10.15,5.18,18.19,22.73,3.29,20,2.69
,,,,,,,,,,,,,,,,,,,
52,Dr. B R Ambedkar National Institute of Technology Jalandhar,2020,12.18,28.58,13.71,11.71,10.49,12.93,2,0.57,26.65,14.46,14.5,4.15,12.88,19.57,6.21,20,9.84
,,,,,,,,,,,,,,,,,,,
53,Indian Institute of Technology Jodhpur,2020,7.44,24.34,15.33,20.61,12.37,11.68,0,2.13,21.42,13.52,17.86,3.37,17.75,15.93,5.61,20,8.05
,,,,,,,,,,,,,,,,,,,
54,Sardar Vallabhbhai National Institute of Technology,2020,14.38,20.38,11.53,11.19,12.86,14.91,2,1.43,27.51,14.66,15.21,5.08,12.98,18.7,3.44,20,9.84
,,,,,,,,,,,,,,,,,,,
55,Visvesvaraya Technological University,2020,5.91,25.89,12.87,21.67,14.8,12.49,0,3.69,29.53,14.88,8.73,0,1.65,27.54,0,20,6.18
,,,,,,,,,,,,,,,,,,,
56,Indraprastha Institute of Information Technology,2020,8.89,14.55,10.03,21.72,15.49,12.7,0,1.61,30.99,13.86,20.01,2.72,10.42,10.47,0.26,20,18.86
,,,,,,,,,,,,,,,,,,,
57,Jawaharlal Nehru Technological University,2020,13.69,25.42,12.96,19.65,12.88,11.29,2,3.06,13.08,14.7,10.81,2.3,1.68,27.45,4.77,20,11.13
,,,,,,,,,,,,,,,,,,,
58,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2020,16.92,30,16.84,6.92,13.18,13.04,2,0.36,15.33,15,10.11,3.8,9.77,24.71,0.03,20,6.18
,,,,,,,,,,,,,,,,,,,
59,M. S. Ramaiah Institute of Technology,2020,12.13,29.45,14.35,9.6,5.92,6.1,1.5,0.46,33.06,15,13.21,1.47,9.06,23.97,2.28,20,18.15
,,,,,,,,,,,,,,,,,,,
60,Kalasalingam Academy of Research and Education,2020,13.68,30,15.12,9.86,6.43,9.09,2,0.91,28.75,13.76,10.36,1.39,8.84,28.01,5.2,20,5.21
,,,,,,,,,,,,,,,,,,,
61,National Institute of Technology Meghalaya,2020,5.99,30,15.73,14.54,9.72,9.45,0,1.48,26.58,14.08,13.01,0.98,12.22,16.68,10.45,20,7.59
,,,,,,,,,,,,,,,,,,,
62,International Institute of Information Technology Bangalore,2020,5.84,23,14.95,15.84,6.35,3.3,1,6.98,24.15,15,24.24,0.55,20.69,17.3,0,20,17.79
,,,,,,,,,,,,,,,,,,,
63,Defence Institute of Advanced Technology,2020,4.78,26.79,16.35,16.52,14.7,13.01,1,4.25,14.53,10.6,16.34,2.92,11.52,16.05,0,20,2.69
,,,,,,,,,,,,,,,,,,,
64,Thiagarajar College of Engineering,2020,11.5,25.6,13.39,9.18,7.34,8.68,0.5,1.81,30.82,15,11.51,1.78,0.38,27.22,3.94,20,27.44
,,,,,,,,,,,,,,,,,,,
65,Maulana Azad National Institute of Technology,2020,13.65,16.86,11.24,10.8,11.69,13.75,2,0.92,29.21,15,14.94,5.13,14.16,17.28,1.9,14,3.2
,,,,,,,,,,,,,,,,,,,
66,Indian Institute of Information Technology Guwahati,2020,4.61,30,16.02,13.58,2.94,2.62,0,1.23,29.11,15,14.41,0,19.77,17.54,0.12,15,36.68
,,,,,,,,,,,,,,,,,,,
67,National Institute of Technology Raipur,2020,12.37,21.86,13.63,11.02,10.85,12.51,0,0.9,23.31,15,14.94,3.74,11.51,18.2,0.99,20,1.63
,,,,,,,,,,,,,,,,,,,
68,Punjab Engineering College (Deemed to be University) Chandigarh,2020,11.72,19.3,11.19,13.45,6.21,6.96,0,1.02,31.18,15,15.48,2.44,14.28,20.52,1.85,20,19.9
,,,,,,,,,,,,,,,,,,,
69,AU College of Engineering Visakhapatnam,2020,12,23.5,15.14,14.68,3.92,3.56,0.5,2.07,32,15,11.39,5.33,1.41,28.58,4.36,20,5.69
,,,,,,,,,,,,,,,,,,,
70,R.V. College of Engineering,2020,13.5,26.37,13.68,9.52,7.23,4.41,1,0.66,28.42,14.79,15.86,0.72,6.18,23.23,0.89,18,13.2
,,,,,,,,,,,,,,,,,,,
71,Veermata Jijabai Technological Institute,2020,11.5,22.89,11.5,11.4,4.29,3.95,0.5,2.3,34.94,15,16.15,2.08,3.2,23.5,6.23,20,11.55
,,,,,,,,,,,,,,,,,,,
72,Panjab University,2020,10.79,14.84,8.63,6.57,17.64,21.24,3,1.67,22.03,11.95,14.23,3.44,15.48,21.13,0.67,3,7.59
,,,,,,,,,,,,,,,,,,,
73,B. M. S. College of Engineering,2020,13.81,24.57,12.71,10.98,4.05,4.13,3,0.74,24.59,14.84,15.38,0.72,7.64,23.54,1.39,20,17.79
,,,,,,,,,,,,,,,,,,,
74,Indian Institute of Food Processing Technology (IIFPT),2020,4.59,30,17.09,18.49,0.59,1.04,0,3.77,30,15,7.69,0.81,8.44,29.44,1.07,20,9.84
,,,,,,,,,,,,,,,,,,,
75,National Institute of Technology Agartala,2020,10.39,22.41,12.87,12.01,9.97,11.34,0,0.24,18.94,12.85,13.12,3.31,11.22,19.23,4.93,20,10.27
,,,,,,,,,,,,,,,,,,,
76,Netaji Subhas University of Technology (NSUT),2020,13.3,17.9,8.54,9.86,11.1,11.48,0,0.1,25.33,13.29,19.4,4.38,5.11,19.27,0.17,20,13.6
,,,,,,,,,,,,,,,,,,,
77,National Institute of Technology Goa,2020,5.69,23.25,14.13,14.31,8.61,7.86,0,1.86,24.36,12.77,14.26,0.72,15.63,18.93,2.22,20,11.13
,,,,,,,,,,,,,,,,,,,
78,Shri Mata Vaishno Devi University,2020,7.98,29.78,17.58,14.06,6.71,9.74,1,1.18,16.54,13.38,10.73,1.15,5.94,19.47,2.59,20,1.1
,,,,,,,,,,,,,,,,,,,
79,National Institute of Technology Jamshedpur,2020,11.61,18.77,12.76,13.5,4.74,7.06,0,1.05,32.08,15,14.94,2.85,13.95,9.38,1.61,20,11.13
,,,,,,,,,,,,,,,,,,,
80,Karunya Institute of Technology and Sciences,2020,12.95,22.77,12.62,8.15,8.76,10.43,1,0.31,25.42,14.67,9.04,1.63,11.69,22.55,0.6,20,6.65
,,,,,,,,,,,,,,,,,,,
81,Indian Institute of Information Technology Design & Manufacturing Jabalpur,2020,8.47,14.4,9.73,12.82,14.54,14.47,0.5,1.38,24.04,15,15.92,4.44,18.85,8.47,3.15,13,1.63
,,,,,,,,,,,,,,,,,,,
82,Kumaraguru College of Technology,2020,13.5,27.47,13.61,8.53,4.47,3.84,2.5,0.54,28.8,14.46,11.04,0.09,0.31,24.37,0.69,20,14.79
,,,,,,,,,,,,,,,,,,,
83,Sri Krishna College of Engineering and Technology,2020,12,28.94,11.07,10.68,0.86,1.69,1,0.71,36.01,15,11.95,0.09,1.02,24.88,2.64,20,12.79
,,,,,,,,,,,,,,,,,,,
84,Chandigarh University,2020,17,23.85,11.17,12.36,1.35,2.72,0,0.66,23.75,15,11.84,1.39,22.85,27.49,4.39,20,2.16
,,,,,,,,,,,,,,,,,,,
85,College of Engineering Trivandrum,2020,11.5,26.19,11.35,10.34,5.19,4.38,0,0.83,26.72,15,11.71,2.15,0.62,25.37,3.99,20,16.31
,,,,,,,,,,,,,,,,,,,
86,Guru Gobind Singh Indraprastha University,2020,6.08,20.36,11.54,8.41,18.55,13.72,0,0.04,20.29,15,14.04,0,7.82,19.54,0.25,20,3.71
,,,,,,,,,,,,,,,,,,,
87,Lovely Professional University,2020,17,23.05,8.82,9.25,5.74,7.29,2,0.16,21.94,15,10.38,1.23,24.49,18.12,2.5,20,2.16
,,,,,,,,,,,,,,,,,,,
88,University of Hyderabad,2020,12,25.54,13.02,10.32,0.39,0.41,1,2.49,35.11,13.53,14.48,2.08,3.72,26.8,3.15,20,4.72
,,,,,,,,,,,,,,,,,,,
89,Graphic Era University,2020,10.11,26.43,11.88,10.27,5.17,5.35,1.5,0.87,23.05,13.9,9.91,1.15,15.2,22.77,0.41,20,14
,,,,,,,,,,,,,,,,,,,
90,Coimbatore Institute of Technology,2020,11.5,30,14.53,8.84,2.47,4.09,0,0.33,21.27,12.66,10.64,1.23,0.22,25.31,3.1,20,26.86
,,,,,,,,,,,,,,,,,,,
91,Siddaganga Institute of Technology,2020,10.14,27.68,13.65,8.86,4.7,5.45,3,0.28,28.77,13.28,11.9,0.64,4.98,24.56,0.63,20,1.63
,,,,,,,,,,,,,,,,,,,
92,National Institute of Technology Patna,2020,10.91,17.79,11.73,12.06,7.07,7.79,0,1.74,29.51,13.06,14.75,1.78,9.75,9.94,3.74,20,13.2
,,,,,,,,,,,,,,,,,,,
93,C.V. Raman Global University Odisha,2020,9.92,27.72,10.72,11.13,1.83,2.6,0.5,0.13,32.03,15,11.66,0,13.65,21.21,2.79,20,10.7
,,,,,,,,,,,,,,,,,,,
94,PES University,2020,13.26,22.07,10.97,11.25,6.03,4.25,1.5,0.42,26.33,15,13.89,0.09,5.4,23.34,0.49,20,10.27
,,,,,,,,,,,,,,,,,,,
95,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,2020,11.34,26.29,10.92,9.15,8.63,11.86,3.5,0.1,17.03,8.83,10.32,0.19,17.33,18.59,3.96,20,0.55
,,,,,,,,,,,,,,,,,,,
96,Jaypee Institute of Information Technology,2020,13.11,18.88,10.6,8.27,9.17,10.03,0,0.19,25.59,13.5,11.5,2.79,9.3,21.34,0,20,9.84
,,,,,,,,,,,,,,,,,,,
97,University College of Engineering  Kakinada,2020,8.66,29.79,11.56,8.25,5.06,3.67,0,1.68,32.38,15,11.01,1.15,0.62,26.84,3.51,20,1.63
,,,,,,,,,,,,,,,,,,,
98,National Institute of Technology Hamirpur,2020,11.59,14.07,9.43,10.23,9.94,11.87,0,0.81,26.95,15,14.45,4.55,12.66,9.05,4.13,20,5.69
,,,,,,,,,,,,,,,,,,,
99,Bharati Vidyapeeth Deemed University College of Engineering,2020,12.37,24.71,10.43,7.11,1.1,1.05,1,0.2,35.28,15,12.75,2.37,20.73,20.89,4.44,20,6.18
,,,,,,,,,,,,,,,,,,,
100,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,2020,5.52,15.31,10.88,14.27,8.02,7.47,0.5,1.53,28.84,14.01,17.88,1.63,18.79,11.73,2.69,20,7.59
,,,,,,,,,,,,,,,,,,,
Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2019,18.5,30,18.34,26.71,33.22,36.51,13,9.65,32.05,15,20.8,16.51,21.84,13.72,8.44,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2019,17.18,27.96,17.51,23.15,35,39.84,12,9.35,27.05,13.66,21.53,18.08,21.99,13.87,2.33,18,90.85
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2019,18.5,30,19.28,21.35,34.19,36.66,15,9.44,25.18,13.89,19.42,17.97,19.63,12.27,2.27,14,89.61
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kharagpur,2019,17.98,23.63,15.4,16.14,33,39.21,10,6,28.44,14.22,21.46,20,21.24,9.56,6.99,20,84.14
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kanpur,2019,17.44,24.44,16.45,20.74,29.51,32.5,12,7.78,31.34,12.18,22.87,16.18,18.26,7.78,7.57,13,81.35
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2019,17.82,24.2,15.8,17.23,31.79,37.23,2,4.89,35.58,15,20.45,18.81,24.05,11.46,3.14,20,54.61
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2019,15.15,30,18.07,19.33,28.37,30.3,0,4.92,28,13.29,22.08,15.07,23.19,10.71,4.97,20,54.49
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2019,10.5,30,16.61,21.81,20.26,20.24,3,5.67,33.14,15,18.82,4.75,16.83,13.68,5.71,20,55.38
,,,,,,,,,,,,,,,,,,,
9,Anna University,2019,19.05,22.11,12.65,9.36,27.6,30.43,3,3.1,20.01,14.7,13.84,14.7,1.82,27.22,3.62,20,70.13
,,,,,,,,,,,,,,,,,,,
10,National Institute of Technology Tiruchirappalli,2019,15.01,23.27,13.99,16.09,20.72,21.97,0,3.95,31.82,15,16.62,9.32,16.7,20.53,4.97,20,63.54
,,,,,,,,,,,,,,,,,,,
11,Indian Institute of Technology (Banaras Hindu University) Varanasi,2019,16.07,21.96,13.96,16.62,19.42,23.11,1,2.1,33.72,14.28,19.68,9.68,16.91,8.63,7.62,20,47.42
,,,,,,,,,,,,,,,,,,,
12,Institute of Chemical Technology,2019,9.59,24.49,15.78,17.9,19.28,22.44,8,7.58,35.83,14.65,14.83,11,3.12,23.58,2.98,20,19.77
,,,,,,,,,,,,,,,,,,,
13,Indian Institute of Technology Indore,2019,8.45,27.19,16.69,23.32,21.75,22.57,1,3.85,28.33,15,20.07,6.78,19.5,10.75,7.05,20,21.29
,,,,,,,,,,,,,,,,,,,
14,Jadavpur University,2019,16.82,16.73,11.02,8.82,28.99,30.11,3,3.61,30.63,13.61,14.89,15.65,4.23,12.6,1,20,46.2
,,,,,,,,,,,,,,,,,,,
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,2019,16.06,19.52,13.12,14.92,25.16,29.82,0.5,3.64,28.63,14.62,17.39,9.39,20.7,6.26,5.16,6,35.31
,,,,,,,,,,,,,,,,,,,
16,National Institute of Technology Rourkela,2019,15.23,19.22,13.11,12.43,24.88,27.88,1,2.29,34.82,13.16,14.83,12.89,13.03,11.52,1.79,20,31.6
,,,,,,,,,,,,,,,,,,,
17,Indian Institute of Technology Bhubaneswar,2019,8.75,30,17.16,21.59,16.02,16.14,1,4.62,32.94,13.37,17.5,1.23,21.15,11.93,4.22,20,34.78
,,,,,,,,,,,,,,,,,,,
18,Vellore Institute of Technology,2019,16.54,17.43,10.77,9.91,24.43,30.52,2,0.39,25.26,12.03,12.72,13.56,16.9,19.65,0.14,20,44.81
,,,,,,,,,,,,,,,,,,,
19,Indian Institute of Engineering Science and Technology Shibpur,2019,13.65,29.16,16.71,14.14,22.6,20.18,1,1.99,23.55,12.7,15.63,7.92,9.47,14.72,3.04,20,38.39
,,,,,,,,,,,,,,,,,,,
20,Indian Institute of Technology Mandi,2019,9.98,30,17.32,21.31,15.62,15.36,0,3.59,28.67,14.85,20.03,4.52,21.62,18.52,5.51,20,18.72
,,,,,,,,,,,,,,,,,,,
21,National Institute of Technology Karnataka  Surathkal,2019,15.98,18.95,12.79,11.76,19.38,19,1,1.93,33.72,15,16.96,9.78,15.39,12.46,2.55,20,48.85
,,,,,,,,,,,,,,,,,,,
22,Indian Institute of Technology Patna,2019,9.03,30,16.93,19.16,17.71,16.79,0,4.57,29.13,12.36,19.08,4.46,16.72,8.12,5.64,20,25.54
,,,,,,,,,,,,,,,,,,,
23,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2019,16.5,25.96,15.15,11.91,19.52,23.27,0.5,1.68,30.77,15,15.63,5.88,13.56,21.43,0.65,20,13.66
,,,,,,,,,,,,,,,,,,,
24,Indian Institute of Technology Gandhinagar,2019,8.05,30,17.52,25.02,13.05,11.68,0,6.28,24.53,12.64,16.88,2.22,18.07,18.08,5.2,20,34.59
,,,,,,,,,,,,,,,,,,,
25,Birla Institute of Technology and Science Pilani,2019,16.5,18.54,12.13,16.44,15.61,18.04,1,0.5,32.59,15,19.59,4.22,22.32,14.17,0,18,44.67
,,,,,,,,,,,,,,,,,,,
26,National Institute of Technology Warangal,2019,15,23.17,15.02,15,15.55,14.96,0,1.26,32.59,15,17.6,7.3,16.4,14.89,3.69,20,32.17
,,,,,,,,,,,,,,,,,,,
27,Jamia Millia Islamia,2019,10.5,28.64,15.76,9.35,20.08,18.61,1,2.5,35.17,15,17.39,7.55,16.94,9.23,4.74,20,10.88
,,,,,,,,,,,,,,,,,,,
28,National Institute of Technology Calicut,2019,15,22.86,14.16,11.44,13.83,12.51,0.5,1.38,36.4,15,16.21,9.39,13.77,22.6,4.71,20,36.71
,,,,,,,,,,,,,,,,,,,
